corp_code,corp_name,year,A_SIZE,LEV,TQ,stock_code,FOR,MSE,ROA,ADV,SGR,R&D,ESG,E,S,G
117230,TYM,2019,27.16678575280021,76.59794251378574,100.27722835386407,2900,3.61,24.81,0.8311003683245364,61.84629755537399,465.2513309873794,21.597492338077682,B+,B,B+,B+
142865,WISCOM,2019,25.62255045571838,12.08693761783991,42.46713520597721,24070,4.74,50.0,0.8018339660854107,36.38170247570525,315.31502055954314,60.568435882143476,C,C,C,B+
249247,YG PLUS,2019,25.77741121094517,28.655519448572193,79.52267351967815,37270,1.2,53.01,-2.7125089460980942,5.6671906730422625,3306.7902473900203,13.651813654063446,B,D,B,B
878915,iM금융지주,2019,,,,139130,52.62,3.35,,,,,A+,A,A+,A+
104768,가온전선,2019,26.962710020786258,49.913876322659775,68.82552088918573,500,5.26,37.62,1.0657796050560586,,-123.59332888292833,6.907835692402123,B+,B,B+,B+
100939,강남제비스코,2019,27.23392634781888,16.52466889038244,36.2005340113281,860,12.49,50.74,2.5901059705846157,,831.1679321167453,96.36952923853856,B,B,C,B
255619,강원랜드,2019,29.12125182283291,16.23120470206863,158.9186442198048,35250,29.73,36.27,7.540443810458354,109.4364841880543,570.3599976144731,395.11948230960934,A,B,A,A
129554,갤럭시아에스엠,2019,24.06406182916768,22.813325681980128,167.67489319294927,11420,3.15,36.95,-4.869824211642138,,3042.3706825815293,,C,D,C,C
101433,경농,2019,26.639128464566863,45.56501057135223,111.94909306220448,2100,1.29,60.13,1.9041116267111826,277.12311188897354,698.6128012005271,301.87339410204834,C,B,B+,C
101488,경동나비엔,2019,27.13641055264345,50.63323950130877,147.9853293819782,9450,8.9,57.42,4.567351384254935,392.3888900385798,654.2777781137871,15.498055103132746,B+,B,B+,B+
1208885,경동도시가스,2019,27.34333834223519,54.71836253611083,71.42202458274241,267290,18.16,51.99,3.285115378725355,,-1144.2289785433973,20.52672324940203,B+,B,A,B+
143527,경동인베스트,2019,27.129266531415183,31.53493495130601,45.85083293590176,12320,11.52,54.29,1.4626731971913312,23.055799807280835,1885.9452218817496,,B,C,B,B+
101628,경방,2019,27.946373673439165,45.901348812120055,64.46163327165144,50,1.87,58.62,3.182335914634144,77.69201791980727,-214.74118396968623,,C,C,B,B
101664,경보제약,2019,26.19476622039028,37.27796312608863,120.31276645456433,214390,1.39,60.5,2.2224000548945444,58.15336506191241,-478.6547297447885,,B,B,B,B
102113,경인양행,2019,26.880416424674003,49.70499998746506,116.57624940995821,12610,9.7,35.48,3.4682352188224232,,836.6114937544274,,B,B,C,B
102140,경인전자,2019,24.76405637107172,4.23322751853064,61.130867377732045,9140,14.49,49.98,0.4273431898492508,1.978078057285753,-2792.2482636294208,,C,D,C,B
102432,계룡건설산업,2019,28.32753278268394,74.95105722964654,83.96322817730967,13580,18.95,42.8,3.715320696668463,15.015603161141861,-73.92215925885934,,B,B,B,B+
102618,계양전기,2019,26.36423901838516,36.847564459381324,69.99872229164484,12200,4.42,44.15,-0.9010555850332244,,272.6616160900612,,B,B,B+,B
102751,고려산업,2019,26.05351709419752,53.59432982923258,94.17572795474833,2140,5.91,47.4,2.290020905927415,7.212309715066592,2147.768128039324,,C,C,C,C
102858,고려아연,2019,29.6903315321037,12.7818570352085,115.06726459008685,10130,26.4,48.47,8.144995412674126,0.3045896342100811,-273.86808124730356,,B,B+,C,B+
103006,고려제강,2019,28.486989459251618,37.039616185019256,54.50183772316033,2240,7.52,68.45,0.2574012861814342,18.00921693882522,396.1377024247127,,B,B+,B+,C
